"","PC1","PC2","group","condition","name"
"TCGA-E9-A1N6-01A-11R-A144-07",-63.9874908167594,4.87878418721666,"Tumor","Tumor","TCGA-E9-A1N6-01A-11R-A144-07"
"TCGA-A2-A259-01A-11R-A16F-07",-19.8601539596315,-2.99633602644252,"Tumor","Tumor","TCGA-A2-A259-01A-11R-A16F-07"
"TCGA-AC-A3EH-01A-22R-A22K-07",-59.3207704008025,-4.21500738177257,"Tumor","Tumor","TCGA-AC-A3EH-01A-22R-A22K-07"
"TCGA-EW-A424-01A-11R-A24H-07",-32.1674663509358,-3.06785913135955,"Tumor","Tumor","TCGA-EW-A424-01A-11R-A24H-07"
"TCGA-AR-A1AU-01A-11R-A12P-07",-12.3800759030524,-12.7889092435952,"Tumor","Tumor","TCGA-AR-A1AU-01A-11R-A12P-07"
"TCGA-B6-A409-01A-11R-A24H-07",-14.6561162901238,-9.6948791168349,"Tumor","Tumor","TCGA-B6-A409-01A-11R-A24H-07"
"TCGA-A2-A0YD-01A-11R-A109-07",-32.9553482311197,-18.1190547619805,"Tumor","Tumor","TCGA-A2-A0YD-01A-11R-A109-07"
"TCGA-C8-A1HI-01A-11R-A137-07",-28.9478825740216,32.5685585252651,"Tumor","Tumor","TCGA-C8-A1HI-01A-11R-A137-07"
"TCGA-B6-A0I5-01A-11R-A034-07",-50.7270173542571,-0.171341991664324,"Tumor","Tumor","TCGA-B6-A0I5-01A-11R-A034-07"
"TCGA-EW-A1IX-01A-12R-A144-07",-33.3155049963596,-12.4106697929922,"Tumor","Tumor","TCGA-EW-A1IX-01A-12R-A144-07"
"TCGA-BH-A0DL-11A-13R-A115-07",36.4594803638818,-15.9190065608488,"Normal","Normal","TCGA-BH-A0DL-11A-13R-A115-07"
"TCGA-BH-A0DO-11A-22R-A12D-07",41.1297083660163,-6.21610352930676,"Normal","Normal","TCGA-BH-A0DO-11A-22R-A12D-07"
"TCGA-E2-A153-11A-31R-A12D-07",29.1564458839495,51.5758945861659,"Normal","Normal","TCGA-E2-A153-11A-31R-A12D-07"
"TCGA-BH-A203-11A-42R-A169-07",45.1365831827693,-10.6626558949217,"Normal","Normal","TCGA-BH-A203-11A-42R-A169-07"
"TCGA-BH-A0C3-11A-23R-A12P-07",36.3154714940377,2.3904020377319,"Normal","Normal","TCGA-BH-A0C3-11A-23R-A12P-07"
"TCGA-AC-A2FB-11A-13R-A17B-07",40.5014847329445,-17.6899452916994,"Normal","Normal","TCGA-AC-A2FB-11A-13R-A17B-07"
"TCGA-E2-A1L7-11A-33R-A144-07",26.9535225863394,-5.09266983873441,"Normal","Normal","TCGA-E2-A1L7-11A-33R-A144-07"
"TCGA-E9-A1RD-11A-33R-A157-07",33.3431033484843,-23.3671423957696,"Normal","Normal","TCGA-E9-A1RD-11A-33R-A157-07"
"TCGA-BH-A0DK-11A-13R-A089-07",21.0983860619892,62.0517109656761,"Normal","Normal","TCGA-BH-A0DK-11A-13R-A089-07"
"TCGA-BH-A0BS-11A-11R-A12P-07",38.2236408566515,-11.0537693441334,"Normal","Normal","TCGA-BH-A0BS-11A-11R-A12P-07"
